Mind Bender, Mind Controller, Mind Reader, Mind Warper, Protected Mind Reader, Random, Arrogant QLearner, Average Copier, Cautious QLearner, Hesitant QLearner, Inverse, Risky QLearner, Geller, Grudger, Forgiver, Inverse Punisher, Retaliate (0.08), Limited Retaliate (0.08/20), Forgetful Grudger, Retaliate (0.1), Limited Retaliate (0.1/25), Limited Retaliate (0.1/20), Retaliate (0.12), Punisher, Appeaser, Two Tits For Tat, Once Bitten, Tit For Tat, Forgiving Tit For Tat, Go By Majority/5, Geller Cooperator, Grumpy, Go By Majority/20, Go By Majority/40, Go By Majority/10, Go By Majority, Tit For 2 Tats, Geller Defector, e, Pi, Cooperator, Alternator, Golden, Opposite Grudger, Anti Tit For Tat, Tricky Defector, Tricky Cooperator, Defector
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
24, 5400, 5400, 5400, 5400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19400, 19483, 21069, 21087, 21120, 21143, 21257, 21257, 21264, 21266, 21331, 21838, 21856, 22355, 22500, 22900, 22900, 23194, 23349, 23357, 23612, 23640, 23649, 23726, 23874, 24349, 25981, 26110, 26285, 26880, 27103, 27274, 28084, 28517, 28763, 29567
